seed_run,fold_test_year,disease,disease_id,w_tcn,w_bilstm,w_transformer
42,2020,Measles,4,0.3977888226509094,0.20181529223918915,0.4003959000110626
42,2020,Mpox,5,0.3977442681789398,0.20105521380901337,0.401200532913208
42,2020,Yellow Fever,6,0.3970434069633484,0.20027072727680206,0.40268588066101074
42,2020,AFP,0,0.40960243344306946,0.15459874272346497,0.4357988238334656
42,2020,CSM,1,0.406758576631546,0.1549014151096344,0.4383399784564972
42,2020,Cholera,2,0.4042433798313141,0.1544783115386963,0.4412783682346344
42,2020,Lassa Fever,3,0.4070059061050415,0.15682615339756012,0.4361678957939148
42,2020,Measles,4,0.40722891688346863,0.15063495934009552,0.44213613867759705
42,2020,Mpox,5,0.4068942070007324,0.15361259877681732,0.43949317932128906
42,2020,Yellow Fever,6,0.4007967710494995,0.15148226916790009,0.44772088527679443
42,2020,AFP,0,0.4107622802257538,0.2092026025056839,0.3800351023674011
42,2020,CSM,1,0.41352036595344543,0.208376944065094,0.3781026005744934
42,2020,Cholera,2,0.40852442383766174,0.21104738116264343,0.3804281949996948
42,2020,Lassa Fever,3,0.4124974012374878,0.21416333317756653,0.37333935499191284
42,2020,Measles,4,0.4052867889404297,0.21050888299942017,0.38420435786247253
42,2020,Mpox,5,0.4095822274684906,0.2073836773633957,0.3830340504646301
42,2020,Yellow Fever,6,0.4058203101158142,0.20746971666812897,0.38670986890792847
42,2020,AFP,0,0.37508702278137207,0.23431764543056488,0.390595406293869
42,2020,CSM,1,0.37889400124549866,0.23378978669643402,0.3873162269592285
42,2020,Cholera,2,0.37410834431648254,0.2368871122598648,0.38900455832481384
42,2020,Lassa Fever,3,0.3780108094215393,0.24108801782131195,0.3809010982513428
42,2020,Measles,4,0.3714750409126282,0.23574022948741913,0.3927847146987915
42,2020,Mpox,5,0.3731902539730072,0.232191801071167,0.3946180045604706
42,2020,Yellow Fever,6,0.37212198972702026,0.2324022650718689,0.39547571539878845
42,2020,AFP,0,0.38825419545173645,0.26007983088493347,0.3516659438610077
42,2020,CSM,1,0.39140138030052185,0.2576889991760254,0.3509097099304199
42,2020,Cholera,2,0.38641858100891113,0.2612135112285614,0.35236796736717224
42,2020,Lassa Fever,3,0.38961705565452576,0.2650093138217926,0.34537366032600403
42,2020,Measles,4,0.38314926624298096,0.260879248380661,0.35597145557403564
42,2020,Mpox,5,0.3879052400588989,0.25663912296295166,0.3554556369781494
42,2020,Yellow Fever,6,0.38486215472221375,0.2560271620750427,0.35911065340042114
42,2020,AFP,0,0.39958223700523376,0.2723197937011719,0.328097939491272
42,2020,CSM,1,0.40316030383110046,0.2681466042995453,0.328693151473999
42,2020,Cholera,2,0.39759504795074463,0.27190065383911133,0.33050426840782166
42,2020,Lassa Fever,3,0.40139684081077576,0.27442505955696106,0.3241780698299408
42,2020,Measles,4,0.39383837580680847,0.2735868990421295,0.33257466554641724
42,2020,Mpox,5,0.39977994561195374,0.2677851915359497,0.33243492245674133
42,2020,Yellow Fever,6,0.39570122957229614,0.2676553428173065,0.3366435170173645
42,2020,AFP,0,0.351254940032959,0.31227976083755493,0.3364652991294861
42,2020,CSM,1,0.3522740304470062,0.31093135476112366,0.33679458498954773
42,2020,Cholera,2,0.3541087508201599,0.3085845708847046,0.3373067080974579
42,2020,Lassa Fever,3,0.35646766424179077,0.31206196546554565,0.3314703404903412
42,2020,Measles,4,0.352544367313385,0.31180453300476074,0.3356510400772095
42,2020,Mpox,5,0.3519785702228546,0.3117993175983429,0.3362221121788025
42,2020,Yellow Fever,6,0.3542754054069519,0.3092085123062134,0.3365161120891571
42,2020,AFP,0,0.3815198540687561,0.29645898938179016,0.32202115654945374
42,2020,CSM,1,0.3819231688976288,0.2907252609729767,0.32735157012939453
42,2020,Cholera,2,0.37805938720703125,0.2948428690433502,0.32709774374961853
42,2020,Lassa Fever,3,0.38295188546180725,0.2978737950325012,0.31917431950569153
42,2020,Measles,4,0.3760291337966919,0.29610633850097656,0.3278646171092987
42,2020,Mpox,5,0.3802293539047241,0.29099148511886597,0.3287791311740875
42,2020,Yellow Fever,6,0.3738914728164673,0.29263925552368164,0.33346933126449585
42,2020,AFP,0,0.37644699215888977,0.2989477813243866,0.32460522651672363
42,2020,CSM,1,0.37837040424346924,0.29275593161582947,0.3288736939430237
42,2020,Cholera,2,0.3729362487792969,0.2963108420372009,0.3307528793811798
42,2020,Lassa Fever,3,0.3784830868244171,0.29850247502326965,0.32301443815231323
42,2020,Measles,4,0.3697052001953125,0.30059877038002014,0.3296959698200226
42,2020,Mpox,5,0.3764665722846985,0.29343006014823914,0.3301033675670624
42,2020,Yellow Fever,6,0.36748117208480835,0.29714974761009216,0.3353691101074219
42,2020,AFP,0,0.37654581665992737,0.2574993371963501,0.36595481634140015
42,2020,CSM,1,0.3766237199306488,0.254797101020813,0.3685791790485382
42,2020,Cholera,2,0.3701995015144348,0.26044219732284546,0.3693583011627197
42,2020,Lassa Fever,3,0.37509778141975403,0.26505565643310547,0.3598465621471405
42,2020,Measles,4,0.37112703919410706,0.2554143965244293,0.373458594083786
42,2020,Mpox,5,0.3759685158729553,0.2524813115596771,0.37155014276504517
42,2020,Yellow Fever,6,0.3661288619041443,0.2575274705886841,0.37634366750717163
42,2020,AFP,0,0.3763410747051239,0.2624641954898834,0.3611947298049927
42,2020,CSM,1,0.3752599358558655,0.2605885863304138,0.3641514480113983
42,2020,Cholera,2,0.3712787628173828,0.26025065779685974,0.36847057938575745
42,2020,Lassa Fever,3,0.37750181555747986,0.2627803087234497,0.35971787571907043
42,2020,Measles,4,0.3707202672958374,0.25924113392829895,0.37003859877586365
42,2020,Mpox,5,0.3750971555709839,0.2586824297904968,0.3662204444408417
42,2020,Yellow Fever,6,0.3658713698387146,0.26217737793922424,0.3719511926174164
42,2020,AFP,0,0.34110498428344727,0.33496227860450745,0.3239327669143677
42,2020,CSM,1,0.3415074646472931,0.33487507700920105,0.3236173689365387
42,2020,Cholera,2,0.34055063128471375,0.33237096667289734,0.3270784020423889
42,2020,Lassa Fever,3,0.3430405259132385,0.3369842767715454,0.31997522711753845
42,2020,Measles,4,0.33403724431991577,0.33429375290870667,0.3316689431667328
42,2020,Mpox,5,0.3385967016220093,0.33402925729751587,0.32737401127815247
42,2020,Yellow Fever,6,0.33944791555404663,0.330976277589798,0.3295758068561554
42,2020,AFP,0,0.21917520463466644,0.27413514256477356,0.5066896080970764
42,2020,CSM,1,0.22547180950641632,0.2767697870731354,0.4977584183216095
42,2020,Cholera,2,0.22305111587047577,0.27438175678253174,0.5025670528411865
42,2020,Lassa Fever,3,0.22576971352100372,0.2764800488948822,0.49775025248527527
42,2020,Measles,4,0.2179853469133377,0.2718796730041504,0.5101349949836731
42,2020,Mpox,5,0.22524584829807281,0.2744947671890259,0.5002593398094177
42,2020,Yellow Fever,6,0.22195066511631012,0.27207517623901367,0.5059741139411926
42,2020,AFP,0,0.36705002188682556,0.2995143234729767,0.33343571424484253
42,2020,CSM,1,0.36977067589759827,0.29748666286468506,0.33274272084236145
42,2020,Cholera,2,0.36693060398101807,0.300153911113739,0.3329155147075653
42,2020,Lassa Fever,3,0.3680002987384796,0.2975085973739624,0.33449113368988037
42,2020,Measles,4,0.36001384258270264,0.29571086168289185,0.34427520632743835
42,2020,Mpox,5,0.3651287853717804,0.29437944293022156,0.34049180150032043
42,2020,Yellow Fever,6,0.361117422580719,0.29826435446739197,0.3406182527542114
42,2020,AFP,0,0.3417745530605316,0.32336100935935974,0.33486446738243103
42,2020,CSM,1,0.3431324362754822,0.3227277100086212,0.334139883518219
42,2020,Cholera,2,0.34276890754699707,0.3210673928260803,0.3361636996269226
42,2020,Lassa Fever,3,0.34272414445877075,0.3252025246620178,0.3320733606815338
42,2020,Measles,4,0.33634501695632935,0.31946149468421936,0.3441935181617737
42,2020,Mpox,5,0.33972230553627014,0.3191366195678711,0.34114107489585876
42,2020,Yellow Fever,6,0.337626576423645,0.3237670958042145,0.3386063575744629
42,2020,AFP,0,0.33766451478004456,0.30473214387893677,0.3576032817363739
42,2020,CSM,1,0.34133684635162354,0.3034880757331848,0.35517507791519165
42,2020,Cholera,2,0.33893847465515137,0.3047768175601959,0.3562847375869751
42,2020,Lassa Fever,3,0.3385288417339325,0.3047185242176056,0.3567526042461395
42,2020,Measles,4,0.33123499155044556,0.30024001002311707,0.36852508783340454
42,2020,Mpox,5,0.3359985053539276,0.3008759021759033,0.3631255626678467
42,2020,Yellow Fever,6,0.3342571556568146,0.30038750171661377,0.36535531282424927
42,2020,AFP,0,0.3327252268791199,0.296215683221817,0.3710590600967407
42,2020,CSM,1,0.3363809585571289,0.2950389087200165,0.368580162525177
42,2020,Cholera,2,0.334003746509552,0.2962796688079834,0.369716614484787
42,2020,Lassa Fever,3,0.3335917294025421,0.29621556401252747,0.3701927065849304
42,2020,Measles,4,0.3261840343475342,0.29166510701179504,0.3821508586406708
42,2020,Mpox,5,0.3309710621833801,0.2923678159713745,0.3766610622406006
