disease,MAE,n,variant,seed_run,fold_test_year,horizon
Mpox,0.6003493070602417,27,uniform_gate,123,2021,4
Yellow Fever,0.5360561013221741,27,uniform_gate,123,2021,4
AFP,0.34146443009376526,15,learned_gate,123,2022,4
CSM,0.5020828247070312,15,learned_gate,123,2022,4
Cholera,1.726239800453186,15,learned_gate,123,2022,4
Lassa Fever,0.26582464575767517,15,learned_gate,123,2022,4
Measles,0.592174232006073,15,learned_gate,123,2022,4
Mpox,2.5132875442504883,15,learned_gate,123,2022,4
Yellow Fever,0.4870564043521881,15,learned_gate,123,2022,4
AFP,0.3311794102191925,15,uniform_gate,123,2022,4
CSM,0.5105873942375183,15,uniform_gate,123,2022,4
Cholera,1.5866990089416504,15,uniform_gate,123,2022,4
Lassa Fever,0.3203312158584595,15,uniform_gate,123,2022,4
Measles,0.5245453119277954,15,uniform_gate,123,2022,4
Mpox,2.4843544960021973,15,uniform_gate,123,2022,4
Yellow Fever,0.5555713772773743,15,uniform_gate,123,2022,4
AFP,0.7695531845092773,22,learned_gate,123,2023,4
CSM,1.3207385540008545,22,learned_gate,123,2023,4
Cholera,1.0476807355880737,22,learned_gate,123,2023,4
Lassa Fever,0.2604660391807556,22,learned_gate,123,2023,4
Measles,1.7618012428283691,22,learned_gate,123,2023,4
Mpox,1.687106966972351,22,learned_gate,123,2023,4
Yellow Fever,0.5826848745346069,22,learned_gate,123,2023,4
AFP,0.8078833222389221,22,uniform_gate,123,2023,4
CSM,1.2296104431152344,22,uniform_gate,123,2023,4
Cholera,0.9921516180038452,22,uniform_gate,123,2023,4
Lassa Fever,0.2965875566005707,22,uniform_gate,123,2023,4
Measles,1.5912222862243652,22,uniform_gate,123,2023,4
Mpox,1.7380732297897339,22,uniform_gate,123,2023,4
Yellow Fever,0.6145553588867188,22,uniform_gate,123,2023,4
AFP,0.5638248324394226,42,learned_gate,123,2024,4
CSM,1.8455376625061035,42,learned_gate,123,2024,4
Cholera,1.873180627822876,42,learned_gate,123,2024,4
Lassa Fever,0.7213348746299744,42,learned_gate,123,2024,4
Measles,0.936764657497406,42,learned_gate,123,2024,4
Mpox,2.336111068725586,42,learned_gate,123,2024,4
Yellow Fever,0.5890167951583862,42,learned_gate,123,2024,4
AFP,0.5496954321861267,42,uniform_gate,123,2024,4
CSM,1.8221702575683594,42,uniform_gate,123,2024,4
Cholera,1.614450216293335,42,uniform_gate,123,2024,4
Lassa Fever,0.6535488367080688,42,uniform_gate,123,2024,4
Measles,0.9625880122184753,42,uniform_gate,123,2024,4
Mpox,2.100011110305786,42,uniform_gate,123,2024,4
Yellow Fever,0.5275731086730957,42,uniform_gate,123,2024,4
AFP,0.6380230188369751,52,learned_gate,123,2025,4
CSM,1.776633620262146,52,learned_gate,123,2025,4
