disease,MAE,n,variant,seed_run,fold_test_year
Mpox,1.712867021560669,22,no_bilstm,42,2023
Yellow Fever,0.6112104654312134,22,no_bilstm,42,2023
AFP,0.8265469074249268,22,no_transformer,42,2023
CSM,1.1783955097198486,22,no_transformer,42,2023
Cholera,1.0074362754821777,22,no_transformer,42,2023
Lassa Fever,0.2836644947528839,22,no_transformer,42,2023
Measles,1.6202300786972046,22,no_transformer,42,2023
Mpox,1.6920326948165894,22,no_transformer,42,2023
Yellow Fever,0.6213538646697998,22,no_transformer,42,2023
AFP,0.8072172403335571,22,full_uniform,42,2023
CSM,1.1920580863952637,22,full_uniform,42,2023
Cholera,1.047256350517273,22,full_uniform,42,2023
Lassa Fever,0.3047250509262085,22,full_uniform,42,2023
Measles,1.692826747894287,22,full_uniform,42,2023
Mpox,1.7387359142303467,22,full_uniform,42,2023
Yellow Fever,0.6426016688346863,22,full_uniform,42,2023
AFP,0.6805884838104248,42,tcn_only,42,2024
CSM,1.9073957204818726,42,tcn_only,42,2024
Cholera,2.1558890342712402,42,tcn_only,42,2024
Lassa Fever,0.7466265559196472,42,tcn_only,42,2024
Measles,1.0203641653060913,42,tcn_only,42,2024
Mpox,2.4247138500213623,42,tcn_only,42,2024
Yellow Fever,0.7015517354011536,42,tcn_only,42,2024
AFP,0.45788174867630005,42,bilstm_only,42,2024
CSM,1.6674776077270508,42,bilstm_only,42,2024
Cholera,1.3952988386154175,42,bilstm_only,42,2024
Lassa Fever,0.5276484489440918,42,bilstm_only,42,2024
Measles,0.8476462364196777,42,bilstm_only,42,2024
Mpox,1.7267781496047974,42,bilstm_only,42,2024
Yellow Fever,0.3885677456855774,42,bilstm_only,42,2024
AFP,0.548265814781189,42,transformer_only,42,2024
CSM,1.8323907852172852,42,transformer_only,42,2024
Cholera,1.4639208316802979,42,transformer_only,42,2024
Lassa Fever,0.6504334807395935,42,transformer_only,42,2024
Measles,0.979949414730072,42,transformer_only,42,2024
Mpox,2.0237224102020264,42,transformer_only,42,2024
Yellow Fever,0.5005165934562683,42,transformer_only,42,2024
AFP,0.4833393096923828,42,no_tcn,42,2024
CSM,1.7569743394851685,42,no_tcn,42,2024
Cholera,1.7200591564178467,42,no_tcn,42,2024
Lassa Fever,0.6615045666694641,42,no_tcn,42,2024
Measles,0.8475114107131958,42,no_tcn,42,2024
Mpox,2.115945339202881,42,no_tcn,42,2024
Yellow Fever,0.461333692073822,42,no_tcn,42,2024
AFP,0.5324503779411316,42,no_bilstm,42,2024
CSM,1.8240511417388916,42,no_bilstm,42,2024
Cholera,1.878148078918457,42,no_bilstm,42,2024
Lassa Fever,0.7177266478538513,42,no_bilstm,42,2024
Measles,0.9064440131187439,42,no_bilstm,42,2024
Mpox,2.274740219116211,42,no_bilstm,42,2024
Yellow Fever,0.5474998354911804,42,no_bilstm,42,2024
AFP,0.5031495094299316,42,no_transformer,42,2024
CSM,1.765732765197754,42,no_transformer,42,2024
Cholera,1.5799733400344849,42,no_transformer,42,2024
Lassa Fever,0.6273238658905029,42,no_transformer,42,2024
Measles,0.8923929929733276,42,no_transformer,42,2024
Mpox,2.0330939292907715,42,no_transformer,42,2024
Yellow Fever,0.47840169072151184,42,no_transformer,42,2024
AFP,0.5699873566627502,42,full_uniform,42,2024
CSM,1.8506677150726318,42,full_uniform,42,2024
Cholera,1.6511479616165161,42,full_uniform,42,2024
Lassa Fever,0.6675902605056763,42,full_uniform,42,2024
Measles,0.9743954539299011,42,full_uniform,42,2024
Mpox,2.1585633754730225,42,full_uniform,42,2024
Yellow Fever,0.5548964142799377,42,full_uniform,42,2024
AFP,0.6632989048957825,52,tcn_only,42,2025
CSM,1.8643461465835571,52,tcn_only,42,2025
Cholera,1.5577242374420166,52,tcn_only,42,2025
Lassa Fever,0.48312583565711975,52,tcn_only,42,2025
Measles,1.6247252225875854,52,tcn_only,42,2025
Mpox,2.044193744659424,52,tcn_only,42,2025
Yellow Fever,0.6233869791030884,52,tcn_only,42,2025
AFP,0.6185528635978699,52,bilstm_only,42,2025
CSM,1.858273983001709,52,bilstm_only,42,2025
Cholera,1.4495176076889038,52,bilstm_only,42,2025
Lassa Fever,0.3463802933692932,52,bilstm_only,42,2025
Measles,1.8658177852630615,52,bilstm_only,42,2025
Mpox,1.5433846712112427,52,bilstm_only,42,2025
Yellow Fever,0.7155730724334717,52,bilstm_only,42,2025
AFP,0.6450740098953247,52,transformer_only,42,2025
CSM,1.6706913709640503,52,transformer_only,42,2025
Cholera,1.733805537223816,52,transformer_only,42,2025
Lassa Fever,0.3415367901325226,52,transformer_only,42,2025
Measles,1.7820870876312256,52,transformer_only,42,2025
Mpox,1.6384249925613403,52,transformer_only,42,2025
Yellow Fever,0.7032056450843811,52,transformer_only,42,2025
AFP,0.6283169984817505,52,no_tcn,42,2025
CSM,1.7828426361083984,52,no_tcn,42,2025
Cholera,1.6188379526138306,52,no_tcn,42,2025
Lassa Fever,0.4124186336994171,52,no_tcn,42,2025
Measles,1.6939231157302856,52,no_tcn,42,2025
Mpox,1.8420401811599731,52,no_tcn,42,2025
Yellow Fever,0.6519317030906677,52,no_tcn,42,2025
AFP,0.671218752861023,52,no_bilstm,42,2025
CSM,1.7213044166564941,52,no_bilstm,42,2025
Cholera,1.5941020250320435,52,no_bilstm,42,2025
Lassa Fever,0.32407423853874207,52,no_bilstm,42,2025
Measles,1.8013333082199097,52,no_bilstm,42,2025
Mpox,1.6345593929290771,52,no_bilstm,42,2025
Yellow Fever,0.699155867099762,52,no_bilstm,42,2025
AFP,0.6458050012588501,52,no_transformer,42,2025
CSM,1.8130799531936646,52,no_transformer,42,2025
Cholera,1.546106219291687,52,no_transformer,42,2025
Lassa Fever,0.3602692782878876,52,no_transformer,42,2025
Measles,1.8020788431167603,52,no_transformer,42,2025
Mpox,1.6747581958770752,52,no_transformer,42,2025
