disease,MAE,n,variant,seed_run,fold_test_year
Cholera,0.9541407227516174,22,entropy_w_0.2,42,2023
Lassa Fever,0.3359936773777008,22,entropy_w_0.2,42,2023
Measles,1.5379177331924438,22,entropy_w_0.2,42,2023
Mpox,1.7569788694381714,22,entropy_w_0.2,42,2023
Yellow Fever,0.6286717653274536,22,entropy_w_0.2,42,2023
AFP,0.492399662733078,42,uniform_gate,42,2024
CSM,1.742510437965393,42,uniform_gate,42,2024
Cholera,1.5848190784454346,42,uniform_gate,42,2024
Lassa Fever,0.6252954602241516,42,uniform_gate,42,2024
Measles,0.8509277105331421,42,uniform_gate,42,2024
Mpox,2.0833656787872314,42,uniform_gate,42,2024
Yellow Fever,0.48335492610931396,42,uniform_gate,42,2024
AFP,0.5616002082824707,42,entropy_w_0.0,42,2024
CSM,1.84963059425354,42,entropy_w_0.0,42,2024
Cholera,1.3696985244750977,42,entropy_w_0.0,42,2024
Lassa Fever,0.7074941992759705,42,entropy_w_0.0,42,2024
Measles,0.9862974286079407,42,entropy_w_0.0,42,2024
Mpox,1.95827317237854,42,entropy_w_0.0,42,2024
Yellow Fever,0.5239022374153137,42,entropy_w_0.0,42,2024
AFP,0.5025514960289001,42,entropy_w_0.02,42,2024
CSM,1.7139829397201538,42,entropy_w_0.02,42,2024
Cholera,1.5254873037338257,42,entropy_w_0.02,42,2024
Lassa Fever,0.556659996509552,42,entropy_w_0.02,42,2024
Measles,0.9332215189933777,42,entropy_w_0.02,42,2024
Mpox,1.752497673034668,42,entropy_w_0.02,42,2024
Yellow Fever,0.43639227747917175,42,entropy_w_0.02,42,2024
AFP,0.6121055483818054,42,entropy_w_0.05,42,2024
CSM,1.7896045446395874,42,entropy_w_0.05,42,2024
Cholera,1.7629873752593994,42,entropy_w_0.05,42,2024
Lassa Fever,0.5727629065513611,42,entropy_w_0.05,42,2024
Measles,0.8463843464851379,42,entropy_w_0.05,42,2024
Mpox,2.2143092155456543,42,entropy_w_0.05,42,2024
Yellow Fever,0.6020968556404114,42,entropy_w_0.05,42,2024
AFP,0.5131550431251526,42,entropy_w_0.1,42,2024
CSM,1.5538756847381592,42,entropy_w_0.1,42,2024
Cholera,1.3365495204925537,42,entropy_w_0.1,42,2024
Lassa Fever,0.5733237266540527,42,entropy_w_0.1,42,2024
Measles,0.9107781648635864,42,entropy_w_0.1,42,2024
Mpox,1.773316502571106,42,entropy_w_0.1,42,2024
Yellow Fever,0.4061812460422516,42,entropy_w_0.1,42,2024
AFP,0.5319010615348816,42,entropy_w_0.2,42,2024
CSM,1.765205979347229,42,entropy_w_0.2,42,2024
Cholera,1.3979566097259521,42,entropy_w_0.2,42,2024
Lassa Fever,0.6273701786994934,42,entropy_w_0.2,42,2024
Measles,0.9509950280189514,42,entropy_w_0.2,42,2024
Mpox,1.74446702003479,42,entropy_w_0.2,42,2024
Yellow Fever,0.4454999268054962,42,entropy_w_0.2,42,2024
AFP,0.6406348943710327,52,uniform_gate,42,2025
CSM,1.7348320484161377,52,uniform_gate,42,2025
Cholera,1.5957446098327637,52,uniform_gate,42,2025
Lassa Fever,0.34985578060150146,52,uniform_gate,42,2025
Measles,1.78084397315979,52,uniform_gate,42,2025
Mpox,1.665963888168335,52,uniform_gate,42,2025
Yellow Fever,0.7003660202026367,52,uniform_gate,42,2025
AFP,0.6403330564498901,52,entropy_w_0.0,42,2025
CSM,1.7475939989089966,52,entropy_w_0.0,42,2025
Cholera,1.647592544555664,52,entropy_w_0.0,42,2025
Lassa Fever,0.35695821046829224,52,entropy_w_0.0,42,2025
Measles,1.7477043867111206,52,entropy_w_0.0,42,2025
Mpox,1.7212998867034912,52,entropy_w_0.0,42,2025
Yellow Fever,0.6782426238059998,52,entropy_w_0.0,42,2025
AFP,0.6413418650627136,52,entropy_w_0.02,42,2025
CSM,1.7220580577850342,52,entropy_w_0.02,42,2025
Cholera,1.759305715560913,52,entropy_w_0.02,42,2025
Lassa Fever,0.3480743169784546,52,entropy_w_0.02,42,2025
Measles,1.7460873126983643,52,entropy_w_0.02,42,2025
Mpox,1.8005465269088745,52,entropy_w_0.02,42,2025
Yellow Fever,0.6908544301986694,52,entropy_w_0.02,42,2025
AFP,0.6333096027374268,52,entropy_w_0.05,42,2025
CSM,1.8366650342941284,52,entropy_w_0.05,42,2025
Cholera,1.5480663776397705,52,entropy_w_0.05,42,2025
Lassa Fever,0.3232036232948303,52,entropy_w_0.05,42,2025
Measles,1.9439380168914795,52,entropy_w_0.05,42,2025
Mpox,1.4463162422180176,52,entropy_w_0.05,42,2025
Yellow Fever,0.7485738396644592,52,entropy_w_0.05,42,2025
AFP,0.6618366241455078,52,entropy_w_0.1,42,2025
CSM,1.7719998359680176,52,entropy_w_0.1,42,2025
Cholera,1.5729739665985107,52,entropy_w_0.1,42,2025
Lassa Fever,0.3154226541519165,52,entropy_w_0.1,42,2025
Measles,1.8824812173843384,52,entropy_w_0.1,42,2025
Mpox,1.5097771883010864,52,entropy_w_0.1,42,2025
Yellow Fever,0.7538954019546509,52,entropy_w_0.1,42,2025
AFP,0.6292046904563904,52,entropy_w_0.2,42,2025
CSM,1.9265793561935425,52,entropy_w_0.2,42,2025
Cholera,1.4123212099075317,52,entropy_w_0.2,42,2025
Lassa Fever,0.3411434292793274,52,entropy_w_0.2,42,2025
Measles,1.9468351602554321,52,entropy_w_0.2,42,2025
Mpox,1.4340966939926147,52,entropy_w_0.2,42,2025
Yellow Fever,0.7503038644790649,52,entropy_w_0.2,42,2025
AFP,1.4418221712112427,9,uniform_gate,42,2026
CSM,0.8596900105476379,9,uniform_gate,42,2026
Cholera,1.3386330604553223,9,uniform_gate,42,2026
Lassa Fever,0.7914548516273499,9,uniform_gate,42,2026
Measles,0.28671106696128845,9,uniform_gate,42,2026
Mpox,0.866206169128418,9,uniform_gate,42,2026
Yellow Fever,0.5912301540374756,9,uniform_gate,42,2026
AFP,1.6386719942092896,9,entropy_w_0.0,42,2026
CSM,0.5446496605873108,9,entropy_w_0.0,42,2026
Cholera,1.8482165336608887,9,entropy_w_0.0,42,2026
Lassa Fever,0.44176265597343445,9,entropy_w_0.0,42,2026
Measles,0.3421282172203064,9,entropy_w_0.0,42,2026
Mpox,0.5247960686683655,9,entropy_w_0.0,42,2026
Yellow Fever,0.534188985824585,9,entropy_w_0.0,42,2026
AFP,1.3559190034866333,9,entropy_w_0.02,42,2026
CSM,0.8176998496055603,9,entropy_w_0.02,42,2026
