disease,MAE,RMSE,n,variant,seed_run,fold_test_year
Cholera,1.8871541023254395,2.257960859130097,50,learned_gate,123,2020
Lassa Fever,0.6034550666809082,0.8466740908322271,50,learned_gate,123,2020
Measles,0.9202623963356018,1.036981319704348,50,learned_gate,123,2020
Mpox,0.7455596923828125,0.7871628736011107,50,learned_gate,123,2020
Yellow Fever,1.0008362531661987,1.0951126874134232,50,learned_gate,123,2020
AFP,0.37502139806747437,0.4715481529303213,50,uniform_gate,123,2020
CSM,1.1485458612442017,1.3055128582043962,50,uniform_gate,123,2020
Cholera,2.202148675918579,2.5809046701342537,50,uniform_gate,123,2020
Lassa Fever,0.6192648410797119,0.8452844442340836,50,uniform_gate,123,2020
Measles,1.1432896852493286,1.3592527926530156,50,uniform_gate,123,2020
Mpox,0.9946147203445435,1.0596409084164946,50,uniform_gate,123,2020
Yellow Fever,1.1173042058944702,1.217768591876511,50,uniform_gate,123,2020
AFP,0.5178011655807495,0.5851012811447562,27,learned_gate,123,2021
CSM,0.9775097370147705,1.2012063618493092,27,learned_gate,123,2021
Cholera,2.096022844314575,2.4825882154389847,27,learned_gate,123,2021
Lassa Fever,0.4637400209903717,0.5469183495915262,27,learned_gate,123,2021
Measles,0.5420052409172058,0.6918291856575096,27,learned_gate,123,2021
Mpox,0.6123206615447998,0.671114602170198,27,learned_gate,123,2021
Yellow Fever,0.6764179468154907,0.7569839037565923,27,learned_gate,123,2021
AFP,0.4754573702812195,0.5522834637019659,27,uniform_gate,123,2021
CSM,0.8980662822723389,1.1135957507900582,27,uniform_gate,123,2021
Cholera,2.3764140605926514,2.7915469945811986,27,uniform_gate,123,2021
Lassa Fever,0.33942726254463196,0.4237202098243696,27,uniform_gate,123,2021
Measles,0.5594120621681213,0.6821038057901435,27,uniform_gate,123,2021
Mpox,0.5849468111991882,0.649321585359313,27,uniform_gate,123,2021
Yellow Fever,0.588123619556427,0.6681419058892042,27,uniform_gate,123,2021
AFP,0.3370804786682129,0.42303991197542584,15,learned_gate,123,2022
CSM,0.6055555939674377,0.7251142198102914,15,learned_gate,123,2022
Cholera,1.398655652999878,1.693047834731159,15,learned_gate,123,2022
Lassa Fever,0.20656414330005646,0.24516684192608634,15,learned_gate,123,2022
Measles,0.598336935043335,0.7480731690568894,15,learned_gate,123,2022
Mpox,2.4418585300445557,2.5843467775439044,15,learned_gate,123,2022
Yellow Fever,0.5638716220855713,0.6667008217367232,15,learned_gate,123,2022
AFP,0.3565673828125,0.4481061176221694,15,uniform_gate,123,2022
CSM,0.5808974504470825,0.7094182560037813,15,uniform_gate,123,2022
Cholera,1.588862657546997,1.8032793769003668,15,uniform_gate,123,2022
Lassa Fever,0.1953105628490448,0.24278814680939065,15,uniform_gate,123,2022
Measles,0.6403833031654358,0.8046085726353117,15,uniform_gate,123,2022
Mpox,2.4704437255859375,2.6287837233763316,15,uniform_gate,123,2022
Yellow Fever,0.4848363995552063,0.59582570800259,15,uniform_gate,123,2022
AFP,0.7941461205482483,1.2406995486675176,22,learned_gate,123,2023
CSM,1.2491776943206787,1.497252889251087,22,learned_gate,123,2023
Cholera,0.9855239391326904,1.254610380888161,22,learned_gate,123,2023
Lassa Fever,0.27145329117774963,0.33933807987148557,22,learned_gate,123,2023
Measles,1.70805025100708,1.9061830227451355,22,learned_gate,123,2023
Mpox,1.703774333000183,1.8951357791338195,22,learned_gate,123,2023
Yellow Fever,0.6164467334747314,0.7454055887944698,22,learned_gate,123,2023
AFP,0.7978016138076782,1.243136493290263,22,uniform_gate,123,2023
CSM,1.22382652759552,1.48760001543542,22,uniform_gate,123,2023
Cholera,1.015278935432434,1.3113150924657717,22,uniform_gate,123,2023
Lassa Fever,0.28919997811317444,0.3589496998441477,22,uniform_gate,123,2023
Measles,1.6664363145828247,1.882972932050722,22,uniform_gate,123,2023
Mpox,1.7206904888153076,1.9221348160451328,22,uniform_gate,123,2023
Yellow Fever,0.6437491774559021,0.7805446874202053,22,uniform_gate,123,2023
AFP,0.4737319052219391,0.6721404903968722,42,learned_gate,123,2024
CSM,1.716526985168457,1.959973223561704,42,learned_gate,123,2024
Cholera,1.5866769552230835,1.9127809555027808,42,learned_gate,123,2024
Lassa Fever,0.5908505320549011,0.8061549685162259,42,learned_gate,123,2024
Measles,0.8369629383087158,1.0005054388627628,42,learned_gate,123,2024
Mpox,1.8982783555984497,1.95663551700022,42,learned_gate,123,2024
Yellow Fever,0.42592284083366394,0.6375725527224099,42,learned_gate,123,2024
AFP,0.48780423402786255,0.6781689792206752,42,uniform_gate,123,2024
CSM,1.7168991565704346,1.99010169847647,42,uniform_gate,123,2024
Cholera,1.6158250570297241,2.015331749690312,42,uniform_gate,123,2024
Lassa Fever,0.6005297899246216,0.8177403040829787,42,uniform_gate,123,2024
Measles,0.8493332862854004,0.9957858638276447,42,uniform_gate,123,2024
Mpox,2.0237748622894287,2.074165185498937,42,uniform_gate,123,2024
Yellow Fever,0.47124677896499634,0.6538976333761434,42,uniform_gate,123,2024
AFP,0.6461101174354553,1.0985968961143016,52,learned_gate,123,2025
CSM,1.7716418504714966,2.0538724145608924,52,learned_gate,123,2025
Cholera,1.596150517463684,1.9031768165386989,52,learned_gate,123,2025
Lassa Fever,0.3320770859718323,0.4279514093078787,52,learned_gate,123,2025
Measles,1.8136335611343384,2.435799616935832,52,learned_gate,123,2025
Mpox,1.6278636455535889,1.6711142404520773,52,learned_gate,123,2025
Yellow Fever,0.6841785907745361,1.173225844961456,52,learned_gate,123,2025
AFP,0.6322565674781799,1.0585746059586991,52,uniform_gate,123,2025
CSM,1.736937165260315,2.0358785859350013,52,uniform_gate,123,2025
Cholera,1.608532428741455,1.9261789897724637,52,uniform_gate,123,2025
Lassa Fever,0.3816875219345093,0.4784049081197353,52,uniform_gate,123,2025
Measles,1.7018837928771973,2.316180007461711,52,uniform_gate,123,2025
Mpox,1.784211277961731,1.8390478530598697,52,uniform_gate,123,2025
Yellow Fever,0.6594845652580261,1.1147036918231992,52,uniform_gate,123,2025
AFP,1.174081563949585,1.8070406414205198,9,learned_gate,123,2026
CSM,0.5714242458343506,0.687715128272123,9,learned_gate,123,2026
Cholera,0.8552329540252686,1.0104836838248226,9,learned_gate,123,2026
Lassa Fever,0.6757016181945801,0.8327634929387268,9,learned_gate,123,2026
Measles,0.3724364638328552,0.4697894175264888,9,learned_gate,123,2026
Mpox,0.9889424443244934,1.1559603044663835,9,learned_gate,123,2026
Yellow Fever,0.27603214979171753,0.4131611063497021,9,learned_gate,123,2026
AFP,1.4004881381988525,1.93269422781404,9,uniform_gate,123,2026
CSM,0.950758695602417,1.0235795948888167,9,uniform_gate,123,2026
Cholera,1.412174105644226,1.6440606610553075,9,uniform_gate,123,2026
Lassa Fever,0.8286773562431335,0.9674258565462658,9,uniform_gate,123,2026
Measles,0.2023509293794632,0.2585574859361654,9,uniform_gate,123,2026
Mpox,0.956396222114563,1.0552707895898437,9,uniform_gate,123,2026
Yellow Fever,0.5494023561477661,0.644872471045223,9,uniform_gate,123,2026
AFP,0.27915772795677185,0.39513833955273303,50,learned_gate,2024,2020
CSM,1.0205729007720947,1.1845165218458618,50,learned_gate,2024,2020
Cholera,2.0006885528564453,2.3928002328347744,50,learned_gate,2024,2020
Lassa Fever,0.5945180654525757,0.8292272897025071,50,learned_gate,2024,2020
Measles,0.8817604184150696,1.0180706216189708,50,learned_gate,2024,2020
Mpox,0.806042492389679,0.8651008933547207,50,learned_gate,2024,2020
Yellow Fever,1.0497554540634155,1.150695397721881,50,learned_gate,2024,2020
AFP,0.2535448372364044,0.35501755385586115,50,uniform_gate,2024,2020
CSM,0.9732047319412231,1.1414817832064654,50,uniform_gate,2024,2020
Cholera,1.9041798114776611,2.2777903202404204,50,uniform_gate,2024,2020
Lassa Fever,0.5981136560440063,0.8453456131800821,50,uniform_gate,2024,2020
Measles,0.9013950228691101,1.0109660762185393,50,uniform_gate,2024,2020
Mpox,0.7335872650146484,0.7821243352681426,50,uniform_gate,2024,2020
Yellow Fever,1.0022813081741333,1.0981762831843844,50,uniform_gate,2024,2020
AFP,0.49635830521583557,0.5725661130070149,27,learned_gate,2024,2021
CSM,0.91192626953125,1.1166595064949005,27,learned_gate,2024,2021
Cholera,2.2507312297821045,2.696151204852482,27,learned_gate,2024,2021
Lassa Fever,0.3905278742313385,0.47501305888445167,27,learned_gate,2024,2021
Measles,0.5179651975631714,0.6284911639928494,27,learned_gate,2024,2021
Mpox,0.5847249627113342,0.6468118719727666,27,learned_gate,2024,2021
Yellow Fever,0.6343961358070374,0.7060465832003762,27,learned_gate,2024,2021
AFP,0.498209685087204,0.5684297917846354,27,uniform_gate,2024,2021
CSM,0.9350125193595886,1.1638962287691625,27,uniform_gate,2024,2021
Cholera,2.144850254058838,2.5317364448974775,27,uniform_gate,2024,2021
Lassa Fever,0.46158620715141296,0.5351073806613698,27,uniform_gate,2024,2021
Measles,0.523492693901062,0.6523490722804616,27,uniform_gate,2024,2021
Mpox,0.6319127082824707,0.6986310609577459,27,uniform_gate,2024,2021
Yellow Fever,0.6443151831626892,0.7267189677764494,27,uniform_gate,2024,2021
AFP,0.3116220235824585,0.4308872120529071,15,learned_gate,2024,2022
CSM,0.6071771383285522,0.7661995969813598,15,learned_gate,2024,2022
