seed_run,fold_test_year,disease,model,MAE
2024,2023,Yellow Fever,LSTM,32.22
2024,2023,Yellow Fever,CNN_LSTM,43.25
2024,2023,Yellow Fever,Proposed,44.14
2024,2024,AFP,Naive,195.59
2024,2024,AFP,CNN,99.76
2024,2024,AFP,LSTM,27.59
2024,2024,AFP,CNN_LSTM,93.53
2024,2024,AFP,Proposed,97.64
2024,2024,CSM,Naive,63.41
2024,2024,CSM,CNN,62.03
2024,2024,CSM,LSTM,58.74
2024,2024,CSM,CNN_LSTM,60.13
2024,2024,CSM,Proposed,62.01
2024,2024,Cholera,Naive,383.06
2024,2024,Cholera,CNN,389.1
2024,2024,Cholera,LSTM,364.09
2024,2024,Cholera,CNN_LSTM,383.99
2024,2024,Cholera,Proposed,387.95
2024,2024,Lassa Fever,Naive,132.79
2024,2024,Lassa Fever,CNN,141.34
2024,2024,Lassa Fever,LSTM,66.8
2024,2024,Lassa Fever,CNN_LSTM,128.77
2024,2024,Lassa Fever,Proposed,136.16
2024,2024,Measles,Naive,254.26
2024,2024,Measles,CNN,275.13
2024,2024,Measles,LSTM,391.87
2024,2024,Measles,CNN_LSTM,257.13
2024,2024,Measles,Proposed,271.24
2024,2024,Mpox,Naive,23.47
2024,2024,Mpox,CNN,28.37
2024,2024,Mpox,LSTM,27.16
2024,2024,Mpox,CNN_LSTM,26.15
2024,2024,Mpox,Proposed,28.04
2024,2024,Yellow Fever,Naive,40.09
2024,2024,Yellow Fever,CNN,38.13
2024,2024,Yellow Fever,LSTM,12.95
2024,2024,Yellow Fever,CNN_LSTM,27.76
2024,2024,Yellow Fever,Proposed,35.11
2024,2025,AFP,Naive,62.25
2024,2025,AFP,CNN,91.29
2024,2025,AFP,LSTM,65.41
2024,2025,AFP,CNN_LSTM,89.25
2024,2025,AFP,Proposed,86.85
2024,2025,CSM,Naive,46.66
2024,2025,CSM,CNN,86.59
2024,2025,CSM,LSTM,82.33
2024,2025,CSM,CNN_LSTM,85.7
2024,2025,CSM,Proposed,86.0
2024,2025,Cholera,Naive,355.09
2024,2025,Cholera,CNN,255.36
2024,2025,Cholera,LSTM,240.46
2024,2025,Cholera,CNN_LSTM,250.88
2024,2025,Cholera,Proposed,252.36
2024,2025,Lassa Fever,Naive,77.5
2024,2025,Lassa Fever,CNN,134.72
2024,2025,Lassa Fever,LSTM,35.74
2024,2025,Lassa Fever,CNN_LSTM,118.34
2024,2025,Lassa Fever,Proposed,118.23
2024,2025,Measles,Naive,161.16
2024,2025,Measles,CNN,122.31
2024,2025,Measles,LSTM,179.38
2024,2025,Measles,CNN_LSTM,117.09
2024,2025,Measles,Proposed,113.42
2024,2025,Mpox,Naive,15.05
2024,2025,Mpox,CNN,28.43
2024,2025,Mpox,LSTM,23.81
2024,2025,Mpox,CNN_LSTM,27.14
2024,2025,Mpox,Proposed,28.3
2024,2025,Yellow Fever,Naive,24.14
2024,2025,Yellow Fever,CNN,24.04
2024,2025,Yellow Fever,LSTM,13.02
2024,2025,Yellow Fever,CNN_LSTM,22.42
2024,2025,Yellow Fever,Proposed,22.26
