day,Susceptible,Exposed,Infectious,Recovered
43.0,194985989.02698898,1855246.7735699965,1714614.9242056436,1444149.2752353966
44.0,194365718.39166826,2083062.332146506,1924948.0754308216,1626271.2007544413
45.0,193671657.03170964,2336787.9634566717,2160842.592263712,1830712.4125700009
46.0,192895991.35514176,2618258.6879280643,2425747.5108227683,2060002.446107423
47.0,192029835.53114983,2930095.5997989094,2722967.5006638067,2317101.368387487
48.0,191063231.49007553,3275705.86711809,3055662.8647800097,2605399.778026401
49.0,189985148.92341715,3659282.731745143,3426849.539601922,2928718.8052358064
50.0,188783485.28382954,4085805.5093502635,3839399.0949974544,3291310.1118227737
51.0,187444924.17581525,4561547.2079791175,4295507.303983613,3698021.3122220403
52.0,185956729.50031734,5089837.627543785,4799671.948606557,4153760.9235323453
53.0,184307531.21841207,5668832.851198997,5360732.542290869,4662903.388098091
54.0,182484820.3829684,6298431.809146063,5986061.540280509,5230686.267605072
55.0,180474844.66729656,6980576.078502369,6681301.446285086,5863277.807916023
56.0,178262608.3651482,7719249.883301377,7450364.812479859,6567776.939070614
57.0,175831872.3907162,8520480.09449263,8295434.239505734,7352213.2752854545
58.0,173165154.2786349,9392336.229941742,9216962.37646927,8225547.114954086
59.0,170246353.64914814,10340840.57424545,10215760.929890448,9197044.846716022
60.0,167068431.4284638,11355478.677036723,11302134.091884984,10273955.802614538
61.0,163625069.76211232,12425344.484926349,12485609.500184394,11463976.252776977
62.0,159910744.75293672,13542811.54864508,13770545.194607422,12775898.503810825
63.0,155920843.17241693,14703410.47268709,15156152.496673642,14219593.858222414
64.0,151651662.4606697,15905828.915309971,16636496.009603452,15806012.614416944
65.0,147100860.7379738,17151416.15139996,18200665.164844956,17547057.945781305
66.0,142278578.26809642,18425140.376484524,19844510.076083634,19451771.27933547
67.0,137208127.58397108,19692535.85710808,21573874.667375002,21525461.89154587
68.0,131914449.76017459,20925718.67132831,23385946.685430944,23773884.883066203
69.0,126423547.51349203,22105157.869138315,25267799.72005312,26203494.897316575
70.0,120762485.20291698,23219675.472466644,27196393.20413296,28821446.120483465
71.0,114959423.29230538,24266360.62094998,29138639.15609721,31635576.930647474
72.0,109053186.20136794,25229047.423097778,31068198.771958925,34649567.6035754
73.0,103100381.31168503,26062027.83488245,32980303.577804413,37857287.27562816
74.0,97154079.62920016,26731649.727489,34862297.14007785,41251973.503233045
75.0,91261462.4108641,27220057.736189082,36691041.13702283,44827438.71592403
76.0,85463821.16463496,27525193.260341026,38432915.35868234,48578070.21634171
77.0,79796557.64947815,27660794.463389795,40043817.70689878,52498830.1802333
