day,Infectious_suppressed
294.0,17499.53441014946
295.0,16655.792901011075
296.0,15853.30173648912
297.0,15090.180101125485
298.0,14364.583028557077
299.0,13674.701401515793
300.0,13018.761951828536
301.0,12395.02726041721
302.0,11801.795757298718
303.0,11237.401721584958
304.0,10700.215281482848
305.0,10188.642414294289
306.0,9701.124946416192
307.0,9236.140553340461
308.0,8792.246976439417
309.0,8368.906299844577
310.0,7965.526359415893
311.0,7581.317475559585
312.0,7215.503557644103
313.0,6867.322104000127
314.0,6536.024201920567
315.0,6220.874527660564
316.0,5921.15134643749
317.0,5636.146512430943
318.0,5365.165468782756
319.0,5107.527247596989
320.0,4862.56446993993
321.0,4629.623345840105
322.0,4408.063674288262
323.0,4197.258843237384
324.0,3996.59582960268
325.0,3805.4751992615948
326.0,3623.3111070537943
327.0,3449.531296781185
328.0,3283.6327781540604
329.0,3125.470587329414
330.0,2974.781110398008
331.0,2831.267064908451
332.0,2694.636308905304
333.0,2564.60184092908
334.0,2440.881800016245
335.0,2323.1994656992183
336.0,2211.2832580063714
337.0,2104.8667374620286
338.0,2003.6886050864669
339.0,1907.4927023959165
340.0,1816.0280114025597
341.0,1729.0486546145323
342.0,1646.313895035922
343.0,1567.588136166771
344.0,1492.6409220030705
345.0,1421.2469370367687
346.0,1353.1860062557644
347.0,1288.2430951439092
348.0,1226.262536714862
349.0,1167.2120133951407
350.0,1110.9751536292479
351.0,1057.4331860539432
352.0,1006.4700062681425
353.0,957.9721768329161
354.0,911.8289272714903
355.0,867.9321540692463
356.0,826.1764206737206
357.0,786.4589574946051
358.0,748.6796619037467
359.0,712.741098235148
360.0,678.5484977849667
361.0,646.0097588115161
362.0,615.035446535264
363.0,585.5387931388342
364.0,557.4356977670058
365.0,530.6447265267126
