day,Susceptible,Infectious,Recovered
40.0,100299954.28114086,60262934.89158298,39437110.82727618
41.0,89943829.4868677,64376744.94584134,45679425.567290984
42.0,80095904.73441756,67607004.83514994,52297090.430432506
43.0,70977443.85642773,69835961.69611984,59186594.44745239
44.0,62757553.50693864,71005173.89930527,66237272.59375612
45.0,55439115.40965308,71205274.78977782,73355609.80056913
46.0,48983290.33177081,70565134.69206418,80451574.97616504
47.0,43342274.07622037,69210579.97574101,87447145.94803865
48.0,38459212.70379819,67264393.25437285,94276394.04182898
49.0,34268202.53316856,64846313.385512285,100885484.08131918
50.0,30694290.140863597,62073035.47069985,107232674.38843657
51.0,27653472.36128328,59058210.85546407,113288316.78325267
52.0,25052696.286695443,55912447.129321456,119034856.58398312
53.0,22794445.308186896,52739737.49277732,124465817.19903582
54.0,20849524.401738122,49577616.09819046,129572859.50007145
55.0,19179228.21341003,46457749.73080371,134363022.05578628
56.0,17735243.790729105,43416452.27581215,138848303.93345878
57.0,16477214.190257158,40482193.02997317,143040592.7797697
58.0,15372738.477591313,37675596.70160658,146951664.82080215
59.0,14397371.727364013,35009443.41059448,150593184.86204153
60.0,13534625.023243016,32488668.68838135,153976706.28837565
61.0,12775965.4579314,30110363.477974042,157113671.0640946
62.0,12120816.133167543,27863774.133941695,160015409.73289078
63.0,11563617.777277749,25741317.23202204,162695064.99070024
64.0,11072016.593125666,23757930.107863966,165170053.2990104
65.0,10637165.564012444,21909124.893241853,167453709.54274574
66.0,10252389.348945122,20188927.21375267,169558683.43730223
67.0,9911539.975540174,18591264.756360732,171497195.26809913
68.0,9608996.840023493,17109967.2693977,173281035.89057884
69.0,9339666.707230408,15738766.562562557,174921566.73020706
70.0,9098983.710605666,14471296.506921649,176429719.7824727
71.0,8882909.352203451,13301093.034908649,177815997.61288792
72.0,8687932.502687372,12221594.140324578,179090473.35698807
73.0,8511350.620180514,11225763.131347183,180262886.24847233
74.0,8351761.197188905,10307015.562064866,181341223.24074626
75.0,8207791.186268783,9460414.42120386,182331794.3925274
76.0,8078096.163655795,8681197.349721696,183240706.48662254
77.0,7961371.500811107,7964739.215724568,184073889.28346437
78.0,7856352.364421407,7306552.114467338,184837095.52111128
79.0,7761813.716398902,6702285.368353527,185535900.91524762
80.0,7676570.313881319,6147725.526935328,186175704.15918338
81.0,7599476.709231906,5638796.366913588,186761726.92385453
82.0,7529427.2500394285,5171558.892137829,187299013.85782278
83.0,7465356.079118175,4742211.3336062245,187792432.58727562
84.0,7406362.079166868,4347174.250161892,188246463.67067125
85.0,7352434.226773904,3983921.388785054,188663644.38444108
86.0,7303297.066491354,3650353.725887089,189046349.20762157
87.0,7258583.185374786,3344402.6325752363,189397014.18205
88.0,7217935.499231871,3064060.4364984175,189718004.06426972
89.0,7181007.252622383,2807380.42184724,190011612.3255304
90.0,7147462.018858195,2572476.829353996,190280061.15178782
91.0,7116973.700003287,2357524.85629266,190525501.44370407
92.0,7089226.526873736,2160760.6564788893,190750012.8166474
93.0,7063915.059037726,1980481.3402700303,190955603.60069227
94.0,7040744.184815541,1815044.9745651088,191144210.8406194
95.0,7019433.014050284,1662881.9712740527,191317685.01467568
96.0,6999867.962207192,1522996.115807067,191477135.92198578
97.0,6981969.617096099,1394659.4987057145,191623370.88419822
98.0,6965616.289673315,1277058.8329434597,191757324.87738326
99.0,6950689.898395468,1169405.2947576114,191879904.80684695
100.0,6937075.969219499,1070934.5236493237,191991989.5071312
101.0,6924663.635602672,980906.6223835958,192094429.74201375
102.0,6913345.638502564,898606.1569892723,192188048.2045082
103.0,6903018.326377072,823342.1567590429,192273639.5168639
104.0,6893581.655184411,754448.1142494425,192351970.23056617
105.0,6884939.188383111,691281.9852808509,192423778.82633606
106.0,6876998.096932021,633226.1889374934,192489775.71413052
107.0,6869698.103310563,579840.8093361928,192550461.0873533
108.0,6863009.518104085,530874.4042609397,192606116.07763502
109.0,6856888.567090265,486014.9292606842,192657096.5036491
110.0,6851292.820388321,444959.95069807407,192703747.22891364
111.0,6846181.192826828,407416.64760477503,192746402.15956843
112.0,6841513.943943726,373101.8116814713,192785384.24437484
113.0,6837252.677986313,341741.8472978651,192821005.47471586
114.0,6833360.343911249,313072.77149267704,192853566.8845961
115.0,6829801.235384556,286840.2139736459,192883358.55064183
116.0,6826540.990781615,262799.41711752844,192910659.5921009
117.0,6823546.593187166,240715.23597010045,192935738.17084277
118.0,6820793.208468901,220406.55048511084,192958800.241046
119.0,6818268.783397535,201779.24028684795,192979951.97631565
120.0,6815957.146847199,184715.1009404242,192999327.7522124
121.0,6813842.552884105,169099.11130281124,193017058.3358131
122.0,6811909.758800097,154819.92916334694,193033270.31203657
123.0,6810144.025112656,141769.89124373544,193048086.08364362
124.0,6808531.115564893,129845.01319804724,193061623.87123707
125.0,6807057.297125554,118944.98961271904,193073997.71326175
126.0,6805709.339989019,108973.19400655382,193085317.46600443
127.0,6804474.517575299,99836.67883072107,193095688.803594
128.0,6803340.606530043,91446.17546875624,193105213.21800122
129.0,6802297.833880672,83729.81123452149,193113972.35488483
130.0,6801341.463735823,76651.77018370901,193122006.7660805
131.0,6800465.4652882,70167.55839307861,193129366.97631875
132.0,6799663.922908995,64233.560745387265,193136102.51634565
133.0,6798931.1103682555,58807.558902136705,193142261.33072963
134.0,6798261.490834893,53848.73130357322,193147889.77786157
135.0,6797649.716876681,49317.65316868784,193153032.62995467
136.0,6797090.630460255,45176.29649521618,193157733.07304454
137.0,6796579.262951111,41388.0300596385,193162032.70698926
138.0,6796110.835113608,37917.61941717982,193165971.54546922
139.0,6795680.757110966,34731.22690180966,193169588.01598725
140.0,6795285.220853725,31800.718337991144,193172914.0608083
141.0,6794922.38494679,29112.338829902495,193175965.27622333
142.0,6794589.992726141,26649.38443298431,193178760.62284088
143.0,6794285.811358907,24395.3349895282,193181318.85365158
144.0,6794007.679462835,22334.199035967697,193183658.1215012
145.0,6793753.507106283,20450.513802878228,193185795.97909087
146.0,6793521.275808226,18729.345214977144,193187749.37897682
147.0,6793309.038538257,17156.287891123695,193189534.67357063
148.0,6793114.919716577,15717.46514431903,193191167.61513913
149.0,6792937.11521401,14399.528981706233,193192663.3558043
150.0,6792773.892351989,13189.660104570274,193194036.44754344
151.0,6792623.773423622,12076.918480971999,193195299.30809543
152.0,6792486.043214716,11055.986586854255,193196457.97019842
153.0,6792359.857044323,10120.604951554593,193197519.53800413
154.0,6792244.370653678,9264.518845048256,193198491.1105013
155.0,6792138.76676375,8481.673424841274,193199379.5598114
156.0,6792042.255075257,7766.213735970468,193200191.5311888
157.0,6791954.072268652,7112.484711003449,193200933.44302034
158.0,6791873.482004131,6515.0311700386155,193201611.48682582
159.0,6791799.7749216305,5968.597820705151,193202231.62725767
160.0,6791732.268640827,5468.129258163039,193202799.60210103
161.0,6791670.307761141,5008.769965103046,193203320.92227376
162.0,6791613.32057524,4586.283616215864,193203800.39580858
163.0,6791561.028463025,4198.602333675837,193204240.36920333
164.0,6791513.115524149,3843.384263095664,193204643.5002128
165.0,6791469.262323499,3518.2616705837527,193205012.47600594
166.0,6791429.159617132,3220.9423627604065,193205349.89802012
167.0,6791392.508352276,2949.209686757824,193205658.281961
168.0,6791359.019667332,2700.9225302201025,193205940.05780247
169.0,6791328.414891872,2474.0153213032336,193206197.56978685
170.0,6791300.425546636,2266.498028675106,193206433.07642472
171.0,6791274.793343541,2076.456161515503,193206648.75049496
172.0,6791251.270185672,1902.050769516106,193206846.67904484
173.0,6791229.635473334,1741.6466191976242,193207028.7179075
174.0,6791209.780218093,1594.4353326669468,193207195.78444925
175.0,6791191.5864214115,1459.5420489566663,193207348.87152964
176.0,6791174.933191323,1336.07051685157,193207488.99629185
177.0,6791159.703485935,1223.1530283953034,193207617.14348567
178.0,6791145.784113429,1119.9504188903684,193207734.26546767
179.0,6791133.065732059,1025.6520668981254,193207841.28220105
180.0,6791121.4428501595,939.4758942387922,193207939.0812556
181.0,6791110.813826133,860.6683659914434,193208028.51780787
182.0,6791101.080868461,788.5044904940114,193208110.41464105
183.0,6791092.150035697,722.2878193432864,193208185.56214496
184.0,6791083.936417213,661.3888441039037,193208254.6747387
185.0,6791076.397206066,605.4901343012983,193208318.11265963
186.0,6791069.488382909,554.2653113803595,193208376.2463057
187.0,6791063.164191328,507.37512890451035,193208429.46067977
188.0,6791057.380329484,464.4911249482711,193208478.12854558
189.0,6791052.093950117,425.29562209725924,193208522.6104278
190.0,6791047.26366054,389.4817274481894,193208563.25461203
191.0,6791042.849522642,356.7533326088735,193208600.39714476
