seed_run,fold_test_year,disease,disease_id,context,w_tcn,w_bilstm,w_transformer
42,2020,AFP,0,quiet,0.3888022005558014,0.4857230484485626,0.12547476589679718
42,2020,CSM,1,quiet,0.39188048243522644,0.4859001338481903,0.12221939861774445
42,2020,Cholera,2,quiet,0.38628527522087097,0.48744383454322815,0.1262708157300949
42,2020,Lassa Fever,3,outbreak,0.3892689645290375,0.4886305034160614,0.12210049480199814
42,2020,Measles,4,outbreak,0.38353827595710754,0.4934330880641937,0.12302863597869873
42,2020,Mpox,5,quiet,0.38118788599967957,0.4923054873943329,0.12650659680366516
42,2020,Yellow Fever,6,quiet,0.3874324560165405,0.48772361874580383,0.12484389543533325
42,2020,AFP,0,quiet,0.5230724811553955,0.36686238646507263,0.11006508767604828
42,2020,CSM,1,quiet,0.5247623920440674,0.36713510751724243,0.10810249298810959
42,2020,Cholera,2,quiet,0.5094531774520874,0.37693536281585693,0.11361148208379745
42,2020,Lassa Fever,3,outbreak,0.5111820697784424,0.3779047429561615,0.1109132245182991
42,2020,Measles,4,outbreak,0.5184885263442993,0.374620646238327,0.10689086467027664
42,2020,Mpox,5,quiet,0.5152096748352051,0.3729822039604187,0.11180819571018219
42,2020,Yellow Fever,6,quiet,0.5186334252357483,0.3694104552268982,0.1119561418890953
42,2020,AFP,0,quiet,0.5188999772071838,0.3111979365348816,0.1699020266532898
42,2020,CSM,1,quiet,0.5220203399658203,0.3126641511917114,0.16531555354595184
42,2020,Cholera,2,quiet,0.5060480833053589,0.31879764795303345,0.17515426874160767
42,2020,Lassa Fever,3,outbreak,0.510851263999939,0.318167507648468,0.1709812879562378
42,2020,Measles,4,outbreak,0.5137676000595093,0.3199745714664459,0.16625778377056122
42,2020,Mpox,5,quiet,0.5134592056274414,0.31431323289871216,0.17222753167152405
42,2020,Yellow Fever,6,quiet,0.5157499313354492,0.31190958619117737,0.17234042286872864
42,2020,AFP,0,quiet,0.5229649543762207,0.33595049381256104,0.14108453691005707
42,2020,CSM,1,quiet,0.5258395671844482,0.3363063931465149,0.13785406947135925
42,2020,Cholera,2,quiet,0.5088604092597961,0.3457809388637543,0.1453586220741272
42,2020,Lassa Fever,3,outbreak,0.5100404024124146,0.34817665815353394,0.1417829543352127
42,2020,Measles,4,outbreak,0.5165629982948303,0.3466796576976776,0.1367572844028473
42,2020,Mpox,5,quiet,0.517697811126709,0.33939051628112793,0.14291170239448547
42,2020,Yellow Fever,6,quiet,0.5226085782051086,0.3345571458339691,0.14283432066440582
42,2020,AFP,0,quiet,0.5438192486763,0.3025228679180145,0.1536579132080078
42,2020,CSM,1,outbreak,0.5434426069259644,0.30328962206840515,0.1532677710056305
42,2020,Cholera,2,quiet,0.5360801815986633,0.30799999833106995,0.1559198647737503
42,2020,Lassa Fever,3,outbreak,0.5381273031234741,0.3105137348175049,0.15135891735553741
42,2020,Measles,4,outbreak,0.5453019142150879,0.30386069416999817,0.1508374810218811
42,2020,Mpox,5,quiet,0.5379330515861511,0.3037484884262085,0.1583184003829956
42,2020,Yellow Fever,6,quiet,0.5365400314331055,0.30490541458129883,0.15855450928211212
42,2020,AFP,0,quiet,0.5139382481575012,0.3229299485683441,0.16313184797763824
42,2020,CSM,1,outbreak,0.5136070847511292,0.32365623116493225,0.16273675858974457
42,2020,Cholera,2,quiet,0.5051858425140381,0.3299735188484192,0.16484063863754272
42,2020,Lassa Fever,3,outbreak,0.5071917772293091,0.3322995603084564,0.1605086475610733
42,2020,Measles,4,outbreak,0.5145058035850525,0.32552841305732727,0.15996572375297546
42,2020,Mpox,5,quiet,0.5086677074432373,0.3230019807815552,0.16833029687404633
42,2020,Yellow Fever,6,quiet,0.5071970224380493,0.324289470911026,0.16851350665092468
42,2020,AFP,0,quiet,0.46295231580734253,0.35889551043510437,0.1781521886587143
42,2020,CSM,1,outbreak,0.4631688594818115,0.3575981557369232,0.1792328804731369
42,2020,Cholera,2,quiet,0.4565095603466034,0.36658957600593567,0.17690086364746094
42,2020,Lassa Fever,3,outbreak,0.4581238627433777,0.3666219115257263,0.17525416612625122
42,2020,Measles,4,outbreak,0.4669104814529419,0.3546450436115265,0.1784444898366928
42,2020,Mpox,5,quiet,0.4602411687374115,0.36021295189857483,0.17954586446285248
42,2020,Yellow Fever,6,quiet,0.45739060640335083,0.3617802560329437,0.18082915246486664
42,2020,AFP,0,quiet,0.5694422125816345,0.2503323554992676,0.1802254170179367
42,2020,CSM,1,quiet,0.5700960159301758,0.2512960135936737,0.1786080002784729
42,2020,Cholera,2,quiet,0.5611159205436707,0.2574101984500885,0.18147388100624084
42,2020,Lassa Fever,3,outbreak,0.5651052594184875,0.25759053230285645,0.1773041933774948
42,2020,Measles,4,outbreak,0.570732831954956,0.25184258818626404,0.17742466926574707
42,2020,Mpox,5,quiet,0.5650457739830017,0.2521263360977173,0.1828278750181198
42,2020,Yellow Fever,6,quiet,0.5656383037567139,0.25260457396507263,0.18175707757472992
42,2020,AFP,0,quiet,0.5356475710868835,0.27376723289489746,0.19058530032634735
42,2020,CSM,1,quiet,0.535727322101593,0.2746383845806122,0.189634308218956
42,2020,Cholera,2,quiet,0.5293334722518921,0.28060925006866455,0.19005726277828217
42,2020,Lassa Fever,3,outbreak,0.5307421684265137,0.2821041941642761,0.1871536821126938
42,2020,Measles,4,outbreak,0.5353205800056458,0.2763637602329254,0.18831565976142883
42,2020,Mpox,5,quiet,0.5322927832603455,0.2750885784626007,0.19261859357357025
42,2020,Yellow Fever,6,quiet,0.530850350856781,0.27734529972076416,0.19180439412593842
42,2020,AFP,0,quiet,0.3707152009010315,0.39395254850387573,0.23533234000205994
42,2020,CSM,1,quiet,0.37676316499710083,0.39354830980300903,0.22968855500221252
42,2020,Cholera,2,outbreak,0.36515262722969055,0.40098801255226135,0.23385930061340332
42,2020,Lassa Fever,3,quiet,0.3670453429222107,0.40453994274139404,0.22841477394104004
42,2020,Measles,4,quiet,0.3789629340171814,0.3958185315132141,0.22521857917308807
42,2020,Mpox,5,quiet,0.36956149339675903,0.39028623700141907,0.2401522696018219
42,2020,Yellow Fever,6,quiet,0.3728371262550354,0.38829857110977173,0.2388642579317093
42,2020,AFP,0,quiet,0.5305847525596619,0.28747183084487915,0.1819433867931366
42,2020,CSM,1,quiet,0.5309754610061646,0.2888355255126953,0.1801890730857849
42,2020,Cholera,2,quiet,0.530556857585907,0.28677117824554443,0.182671919465065
42,2020,Lassa Fever,3,quiet,0.5344524383544922,0.2877577543258667,0.1777898073196411
42,2020,Measles,4,outbreak,0.5314639806747437,0.28823935985565186,0.18029668927192688
42,2020,Mpox,5,quiet,0.5257547497749329,0.2897811532020569,0.18446414172649384
42,2020,Yellow Fever,6,quiet,0.5288756489753723,0.28876397013664246,0.1823604255914688
42,2020,AFP,0,quiet,0.556016743183136,0.28560391068458557,0.15837928652763367
42,2020,CSM,1,quiet,0.557155430316925,0.28596231341362,0.15688219666481018
42,2020,Cholera,2,quiet,0.5562799572944641,0.2849451005458832,0.15877491235733032
42,2020,Lassa Fever,3,quiet,0.5604010820388794,0.2848517596721649,0.1547471433877945
42,2020,Measles,4,quiet,0.551449716091156,0.2901410758495331,0.1584092676639557
42,2020,Mpox,5,quiet,0.5492222309112549,0.28866496682167053,0.16211286187171936
42,2020,Yellow Fever,6,quiet,0.5585428476333618,0.28373345732688904,0.15772365033626556
42,2020,AFP,0,quiet,0.49127861857414246,0.3458145260810852,0.16290690004825592
42,2020,CSM,1,quiet,0.4912949502468109,0.3476531207561493,0.1610518991947174
42,2020,Cholera,2,quiet,0.4895629286766052,0.34747540950775146,0.16296161711215973
42,2020,Lassa Fever,3,quiet,0.49212291836738586,0.34898850321769714,0.15888860821723938
42,2020,Measles,4,quiet,0.48983684182167053,0.3487675189971924,0.16139565408229828
42,2020,Mpox,5,quiet,0.4852887988090515,0.3499583899974823,0.16475282609462738
42,2020,Yellow Fever,6,quiet,0.49064409732818604,0.34602734446525574,0.16332857310771942
42,2020,AFP,0,quiet,0.44975918531417847,0.42319443821907043,0.12704633176326752
42,2020,CSM,1,quiet,0.4491957128047943,0.4247903525829315,0.12601397931575775
42,2020,Cholera,2,quiet,0.4488877058029175,0.42345088720321655,0.12766140699386597
42,2020,Lassa Fever,3,quiet,0.44969168305397034,0.42606568336486816,0.12424264848232269
42,2020,Measles,4,quiet,0.4514152407646179,0.426033079624176,0.12255163490772247
42,2020,Mpox,5,quiet,0.44300299882888794,0.4260382056236267,0.13095885515213013
42,2020,Yellow Fever,6,quiet,0.446444571018219,0.4219677746295929,0.13158760964870453
42,2020,AFP,0,quiet,0.7046585083007812,0.17561094462871552,0.11973052471876144
42,2020,CSM,1,quiet,0.7098351716995239,0.17369318008422852,0.11647163331508636
42,2020,Cholera,2,quiet,0.7026448249816895,0.1766040325164795,0.12075120955705643
42,2020,Lassa Fever,3,quiet,0.7080202698707581,0.1745438575744629,0.11743585765361786
42,2020,Measles,4,outbreak,0.7097657322883606,0.17516304552555084,0.11507125943899155
42,2020,Mpox,5,quiet,0.7005471587181091,0.17847949266433716,0.12097332626581192
42,2020,Yellow Fever,6,quiet,0.7050223350524902,0.17598563432693481,0.11899203062057495
42,2020,AFP,0,outbreak,0.4885747730731964,0.3516407608985901,0.15978440642356873
42,2020,CSM,1,quiet,0.49054718017578125,0.3527103662490845,0.15674249827861786
42,2020,Cholera,2,quiet,0.4895181953907013,0.3526824414730072,0.15779931843280792
42,2020,Lassa Fever,3,outbreak,0.48953527212142944,0.3545326292514801,0.15593203902244568
42,2020,Measles,4,outbreak,0.4941628575325012,0.35022851824760437,0.15560871362686157
42,2020,Mpox,5,quiet,0.48958054184913635,0.3515869379043579,0.15883249044418335
42,2020,Yellow Fever,6,quiet,0.4907185137271881,0.3518452048301697,0.15743637084960938
42,2020,AFP,0,quiet,0.3364824950695038,0.4611019194126129,0.20241552591323853
42,2020,CSM,1,quiet,0.33639779686927795,0.4622390568256378,0.20136316120624542
42,2020,Cholera,2,quiet,0.33109626173973083,0.4638438820838928,0.20505984127521515
42,2020,Lassa Fever,3,quiet,0.33357909321784973,0.467304527759552,0.19911637902259827
42,2020,Measles,4,quiet,0.3386753797531128,0.46529287099838257,0.19603176414966583
42,2020,Mpox,5,quiet,0.32943207025527954,0.4635106325149536,0.20705732703208923
42,2020,Yellow Fever,6,quiet,0.3345886170864105,0.4599554240703583,0.20545604825019836
42,2020,AFP,0,outbreak,0.3403433561325073,0.49587228894233704,0.16378434002399445
42,2020,CSM,1,quiet,0.34016066789627075,0.4969530999660492,0.16288627684116364
42,2020,Cholera,2,quiet,0.33484968543052673,0.4989413321018219,0.1662089079618454
42,2020,Lassa Fever,3,quiet,0.3370479941368103,0.5020083785057068,0.16094359755516052
42,2020,Measles,4,quiet,0.3420279920101166,0.4996000826358795,0.1583719700574875
42,2020,Mpox,5,quiet,0.33199888467788696,0.4994029998779297,0.1685980260372162
42,2020,Yellow Fever,6,quiet,0.3369077742099762,0.49436280131340027,0.1687294989824295
42,2020,AFP,0,quiet,0.29177287220954895,0.6342450976371765,0.07398203015327454
42,2020,CSM,1,quiet,0.2917822301387787,0.6344092488288879,0.07380857318639755
42,2020,Cholera,2,quiet,0.2893317639827728,0.6360228657722473,0.07464536279439926
42,2020,Lassa Fever,3,quiet,0.28881263732910156,0.6376038789749146,0.07358350604772568
42,2020,Measles,4,quiet,0.29175034165382385,0.6354085206985474,0.07284121215343475
42,2020,Mpox,5,quiet,0.2880840003490448,0.6366803646087646,0.07523568719625473
42,2020,Yellow Fever,6,quiet,0.29011332988739014,0.6337713599205017,0.07611531019210815
42,2020,AFP,0,outbreak,0.25048738718032837,0.6747004985809326,0.07481209188699722
42,2020,CSM,1,quiet,0.2522135376930237,0.6732784509658813,0.07450801879167557
42,2020,Cholera,2,quiet,0.24845264852046967,0.676261305809021,0.0752861276268959
42,2020,Lassa Fever,3,quiet,0.2500858008861542,0.6758192181587219,0.07409493625164032
42,2020,Measles,4,quiet,0.24790440499782562,0.6783435344696045,0.07375209033489227
42,2020,Mpox,5,quiet,0.24797563254833221,0.6760354042053223,0.07598898559808731
42,2020,Yellow Fever,6,quiet,0.25350773334503174,0.6700564026832581,0.07643591612577438
42,2020,AFP,0,quiet,0.18409965932369232,0.7153337001800537,0.10056666284799576
42,2020,CSM,1,quiet,0.18652059137821198,0.7131119966506958,0.10036743432283401
